iter	MultiClass
0	1.094527954
1	1.089297945
2	1.083032104
3	1.076286868
4	1.071181697
5	1.06479008
6	1.058900025
7	1.053294598
8	1.046512999
9	1.041492983
10	1.037424371
11	1.032051141
12	1.026763935
13	1.022143688
14	1.016599281
15	1.011366411
16	1.006629996
17	1.001575715
18	0.9969968748
19	0.9920156341
20	0.9875643465
21	0.9828038612
22	0.9780325472
23	0.9725087889
24	0.9686403883
25	0.9650352749
26	0.9595544536
27	0.9553243941
28	0.9508952554
29	0.9461495479
30	0.9420102017
31	0.937182547
32	0.9314646745
33	0.9275397692
34	0.9246824787
35	0.9213937606
36	0.9181253013
37	0.914219149
38	0.9103222363
39	0.9075561996
40	0.9032811199
41	0.8989030978
42	0.8953875537
43	0.8912057539
44	0.8880806021
45	0.8835477533
46	0.8808761214
47	0.8779155642
48	0.874019456
49	0.8703014854
50	0.8661205622
51	0.8624619027
52	0.85829873
53	0.8552424623
54	0.8519696789
55	0.8476368663
56	0.8446951395
57	0.8417640658
58	0.83930995
59	0.8362852679
60	0.8328826138
61	0.8286684145
62	0.8259219948
63	0.8232565122
64	0.8206546074
65	0.8169933637
66	0.8132500183
67	0.8095365361
68	0.8062820723
69	0.8036674977
70	0.8015579414
71	0.7992697569
72	0.7959560738
73	0.793588683
74	0.7907318961
75	0.7873251109
76	0.7846090244
77	0.7816998097
78	0.779588982
79	0.7773404048
80	0.773486769
81	0.7703146846
82	0.7676700082
83	0.7650592977
84	0.762130945
85	0.7597104639
86	0.7566662687
87	0.7546966519
88	0.7525463587
89	0.7500873444
90	0.748074386
91	0.7457036321
92	0.7432270027
93	0.7410706044
94	0.7391134804
95	0.7370735998
96	0.7350124459
97	0.7318342637
98	0.7295415712
99	0.7273060097
100	0.725430545
101	0.7225886407
102	0.720117803
103	0.7180208251
104	0.715495857
105	0.7130690586
106	0.710912165
107	0.7085694268
108	0.7065417776
109	0.704466892
110	0.701509581
111	0.6998376703
112	0.6978325901
113	0.6951128382
114	0.6933908273
115	0.6903055939
116	0.6879103142
117	0.6864313852
118	0.6847600637
119	0.6828494709
120	0.6810765436
121	0.6796897923
122	0.6769197639
123	0.6741369194
124	0.6715305987
125	0.6685043893
126	0.6667319618
127	0.6644160788
128	0.6625811438
129	0.6599801485
130	0.6578154959
131	0.6558380403
132	0.6540750477
133	0.6521147356
134	0.6499200758
135	0.647735472
136	0.6455068204
137	0.6440972185
138	0.6419562094
139	0.6404166034
140	0.6386510972
141	0.6359337768
142	0.6340009232
143	0.6319110479
144	0.6304564546
145	0.6280498167
146	0.6257340263
147	0.6233512618
148	0.6222851081
149	0.6207966169
150	0.6195418366
151	0.616967453
152	0.6150587069
153	0.6134290229
154	0.6107273902
155	0.6087457913
156	0.6062357918
157	0.6043969421
158	0.6026272251
159	0.6003792925
160	0.598589399
161	0.5972637857
162	0.5956545884
163	0.5939659625
164	0.5926741928
165	0.5910379523
166	0.5893104167
167	0.5880210612
168	0.5866655188
169	0.5857736762
170	0.5838932488
171	0.5824552376
172	0.5809726598
173	0.5792333307
174	0.5772548779
175	0.5760614519
176	0.5749279792
177	0.5729132249
178	0.5714868987
179	0.5697932894
180	0.5684472409
181	0.566719722
182	0.5652272743
183	0.5641261484
184	0.5627647552
185	0.5615736359
186	0.5588415371
187	0.5571513828
188	0.5558006314
189	0.5544031102
190	0.5526578444
191	0.5510005202
192	0.5497568767
193	0.5485673157
194	0.5466781252
195	0.5454511736
196	0.5441556624
197	0.5424334055
198	0.5410823559
199	0.5397326513
200	0.5387855591
201	0.5379100001
202	0.5369934317
203	0.5352190931
204	0.5338324928
205	0.5325253654
206	0.5311640881
207	0.5291051537
208	0.5279887548
209	0.526112566
210	0.5250585799
211	0.5234923138
212	0.5226342615
213	0.521544081
214	0.5203396007
215	0.5187908151
216	0.5174115436
217	0.5157611589
218	0.5144144012
219	0.5127569161
220	0.5119348704
221	0.5102582629
222	0.5088122442
223	0.50758202
224	0.50655749
225	0.5053255457
226	0.5045127104
227	0.5034133844
228	0.50202615
229	0.5009680164
230	0.4999439823
231	0.499069183
232	0.4985242241
233	0.4975094423
234	0.4964114366
235	0.4956993909
236	0.4943647596
237	0.4927972312
238	0.4915134711
239	0.4903619654
240	0.4892551347
241	0.4885037563
242	0.4870148854
243	0.4855983018
244	0.484637313
245	0.4837431134
246	0.4826649784
247	0.4814217182
248	0.4800844426
249	0.4788567383
250	0.4778494889
251	0.4768711308
252	0.4757887255
253	0.4749718412
254	0.473863679
255	0.4727518842
256	0.4715212466
257	0.4700371966
258	0.4691030948
259	0.4683852465
260	0.4675163994
261	0.4662706219
262	0.4654081731
263	0.4644485999
264	0.4632543874
265	0.4622688467
266	0.461261653
267	0.4601512353
268	0.4593529007
269	0.4581100288
270	0.4572383229
271	0.4567417793
272	0.4553055802
273	0.4544162659
274	0.4537163785
275	0.4527557529
276	0.4520220227
277	0.4510878291
278	0.4497063628
279	0.448627686
280	0.4471631878
281	0.4460223823
282	0.4452406697
283	0.444519501
284	0.4436159998
285	0.442846789
286	0.4420145932
287	0.4408356852
288	0.4399980561
289	0.4386633234
290	0.4377507256
291	0.4373130732
292	0.4361116356
293	0.4352839639
294	0.4348172172
295	0.4337833627
296	0.4331579908
297	0.4319273536
298	0.4316392298
299	0.4305312045
300	0.4295871974
301	0.4286076153
302	0.4278419518
303	0.4271971729
304	0.4262537668
305	0.4250023724
306	0.4242524931
307	0.4236405838
308	0.4228517846
309	0.4218938177
310	0.4207331253
311	0.4197865354
312	0.4191398258
313	0.4184044316
314	0.4173394216
315	0.4160632765
316	0.4153230425
317	0.4145050782
318	0.4137301427
319	0.4131643777
320	0.4121057252
321	0.4112171767
322	0.4106759326
323	0.4101024743
324	0.4092162354
325	0.4085255393
326	0.4077722587
327	0.4071051132
328	0.4066600888
329	0.4059746833
330	0.405193793
331	0.4044265781
332	0.4037813793
333	0.4031101874
334	0.4025112824
335	0.4015175693
336	0.4006713663
337	0.3996958238
338	0.3989872501
339	0.3979225396
340	0.3970947096
341	0.3964209252
342	0.3952894215
343	0.3949126637
344	0.3942866332
345	0.3935810002
346	0.3928191174
347	0.3922454104
348	0.3917999298
349	0.390925656
350	0.3899491222
351	0.3892345286
352	0.3883272669
353	0.3876423231
354	0.3871119716
355	0.3865438759
356	0.3856505599
357	0.3851587374
358	0.3847808125
359	0.3842008867
360	0.3836112233
361	0.3828327658
362	0.3819729796
363	0.3810872633
364	0.3803972993
365	0.3798824705
366	0.3788265718
367	0.3781093304
368	0.3771623557
369	0.3762441707
370	0.375533659
371	0.375086775
372	0.3743160693
373	0.3737819613
374	0.3729107062
375	0.3723585528
376	0.3712758785
377	0.370630597
378	0.3699986349
379	0.3690707412
380	0.3682588384
381	0.3675539643
382	0.3670784728
383	0.3664659325
384	0.3656793028
385	0.3648956106
386	0.3643970207
387	0.363836269
388	0.3625823515
389	0.3619176926
390	0.3613874285
391	0.3608289624
392	0.3601467268
393	0.3594285251
394	0.3589030837
395	0.3581023518
396	0.357443611
397	0.3568229027
398	0.3563467259
399	0.3557099862
400	0.3552526158
401	0.3544405126
402	0.3539773339
403	0.35310264
404	0.352775114
405	0.3519007107
406	0.351247493
407	0.3505473956
408	0.3496603
409	0.3488870923
410	0.3481189169
411	0.3475007343
412	0.3466799641
413	0.3461734982
414	0.3456851153
415	0.3451486039
416	0.3444929078
417	0.3439852179
418	0.3431876427
419	0.3424648825
420	0.3419403554
421	0.3414416415
422	0.3408949175
423	0.3405639622
424	0.3398698738
425	0.3391240088
426	0.3387184333
427	0.3383452689
428	0.3375631268
429	0.3368322066
430	0.336303459
431	0.3358201597
432	0.3353590894
433	0.3349164262
434	0.3342166666
435	0.3336934367
436	0.3328045006
437	0.3322278872
438	0.331462679
439	0.3307647617
440	0.3301588298
441	0.3297849894
442	0.3290335933
443	0.3285427927
444	0.3279150004
445	0.3273720881
446	0.3267727951
447	0.3260920422
448	0.3254843077
449	0.3249095363
450	0.3243520239
451	0.3236907497
452	0.3231910113
453	0.3226062016
454	0.3221473134
455	0.3216786028
456	0.3213872609
457	0.3209037145
458	0.3202289467
459	0.3198196042
460	0.3193770625
461	0.3188557659
462	0.3184111001
463	0.3177178305
464	0.317126529
465	0.3166576371
466	0.3159931898
467	0.3152660768
468	0.314931238
469	0.3145383209
470	0.3139264436
471	0.3134292038
472	0.3128367078
473	0.3124599311
474	0.3119249317
475	0.3113589518
476	0.3107091915
477	0.3104716798
478	0.3097680588
479	0.3088760764
480	0.3081500616
481	0.307855855
482	0.3069776799
483	0.3062912862
484	0.305759768
485	0.3052349951
486	0.3046886683
487	0.3043228609
488	0.3037306226
489	0.3033484616
490	0.3030190282
491	0.302521253
492	0.3018474156
493	0.3014801094
494	0.3009554081
495	0.3004328353
496	0.2997912213
497	0.2991670789
498	0.2988590002
499	0.2982820426
500	0.2976994646
501	0.2971014525
502	0.2968781544
503	0.296441747
504	0.2959995336
505	0.2954815165
506	0.2949714094
507	0.2944274704
508	0.2941687482
509	0.293579917
510	0.2930586225
511	0.2925617349
512	0.2920746987
513	0.2917561961
514	0.2911854874
515	0.2906998137
516	0.2901969322
517	0.2897800848
518	0.2893293614
519	0.2883865318
520	0.2879931312
521	0.2874535572
522	0.2870408098
523	0.2864733038
524	0.2861549799
525	0.2857013211
526	0.2853747892
527	0.2850010913
528	0.28468173
529	0.2843006198
530	0.2837954034
531	0.283439722
532	0.2828170205
533	0.2824766682
534	0.2821887851
535	0.2817789268
536	0.2812459257
537	0.2807788238
538	0.2804069907
539	0.2798436313
540	0.2796245941
541	0.2793632526
542	0.278988522
543	0.2784746312
544	0.2779517644
545	0.2774208177
546	0.2770258996
547	0.2767565215
548	0.2763912844
549	0.276156312
550	0.2756530514
551	0.2750200821
552	0.2744857141
553	0.2742373469
554	0.2736426877
555	0.273167724
556	0.2726246083
557	0.2721637113
558	0.271771619
559	0.2712450171
560	0.270667689
561	0.2702958619
562	0.2698566439
563	0.269263918
564	0.2686817522
565	0.2679578886
566	0.2674513056
567	0.2669867867
